geo_name,geo_id,pop_2016,adult_obesity_2017,poverty_rate_2016,high_school_graduation_2017,unemployment_2017,violent_crime_2017,age,median_property_value_2016
"Montmorency County, MI",05000US26119,1235215,0.289,0.162927466782836,,0.096,74.19,34.8,191500
"Muskegon County, MI",05000US26121,26152,0.358,0.19583285410752,0.765,0.056,480.35,34.8,104800
"Newaygo County, MI",05000US26123,21103,0.34,0.18208392467538,0.857,0.052,294.44,34.8,88600
"Oakland County, MI",05000US26125,6165,0.263,0.095540132277292,0.85,0.05,195.49,34.8,69500
"Oceana County, MI",05000US26127,23172,0.348,0.198554142343527,0.835,0.076,190.06,34.8,89400
"Ogemaw County, MI",05000US26129,8374,0.356,0.199719860896445,0.768,0.075,257.25,34.8,80700
"Ontonagon County, MI",05000US26131,24198,0.33,0.152255947497949,,0.09,151.45,34.8,121600
"Osceola County, MI",05000US26133,276583,0.342,0.226504335639835,0.824,0.062,238.69,34.8,160500
"Oscoda County, MI",05000US26135,12955,0.335,0.195324737920231,,0.084,274.11,34.8,94000
"Otsego County, MI",05000US26137,23900,0.333,0.141630540005893,0.848,0.059,173.04,34.8,92400
"Ottawa County, MI",05000US26139,195201,0.276,0.099342364116688,0.885,0.035,203.4,34.8,92800
"Presque Isle County, MI",05000US26141,160069,0.323,0.135416666666667,,0.098,103.89,34.8,126900
"Roscommon County, MI",05000US26143,60923,0.342,0.196787999491504,0.671,0.088,259.77,34.8,109700
"Saginaw County, MI",05000US26145,41761,0.389,0.178865360085953,0.781,0.055,745.01,34.8,98500
"St. Clair County, MI",05000US26147,8186,0.33,0.141297618295534,0.799,0.071,265.59,34.8,98700
"St. Joseph County, MI",05000US26149,68800,0.347,0.161959480901241,0.813,0.043,307.07,34.8,105500
"Sanilac County, MI",05000US26151,54014,0.313,0.15687984496124,0.839,0.063,241,34.8,95200
"Schoolcraft County, MI",05000US26153,75216,0.313,0.215273452099165,0.925,0.104,,34.8,121400
"Shiawassee County, MI",05000US26155,358082,0.324,0.142340827285065,0.868,0.054,231.16,34.8,218100
"Tuscola County, MI",05000US26157,1767593,0.326,0.157902718277287,0.799,0.064,232.2,34.8,86000
"Van Buren County, MI",05000US26159,32829,0.335,0.174781825271962,0.796,0.06,300.68,34.8,92400
"Washtenaw County, MI",05000US26161,15722,0.244,0.151721292148078,0.866,0.035,298.89,34.8,165300
"Wayne County, MI",05000US26163,341249,0.335,0.245046297885978,0.79,0.073,1034.06,34.8,193200
"Wexford County, MI",05000US26165,33375,0.302,0.187770228536133,0.773,0.065,318.77,34.8,177600
"Aitkin County, MN",05000US27001,45644,0.299,0.127885174888472,0.895,0.06,169.24,34.8,148600
"Anoka County, MN",05000US27003,39457,0.3,0.073582158457332,0.848,0.036,132.6,34.8,158400
"Becker County, MN",05000US27005,5098,0.326,0.128139556123847,0.882,0.044,77.22,34.8,96900
"Beltrami County, MN",05000US27007,65524,0.309,0.191084130772261,0.673,0.048,220.58,34.8,166200
"Benton County, MN",05000US27009,25327,0.293,0.134563827593318,0.928,0.044,148.07,34.8,132300
"Big Stone County, MN",05000US27011,35482,0.287,0.113352158128278,,0.044,32.22,34.8,160900
"Blue Earth County, MN",05000US27013,97143,0.337,0.182584858501975,0.831,0.03,212.26,34.8,277600
"Brown County, MN",05000US27015,28633,0.301,0.079782824933687,0.894,0.041,53.59,34.8,174000
